year,end_mounth,subject,factor_1,delta_factor_1,per_mounth_factor_1,factor_2,delta_factor_2,per_mounth_factor_2,factor_3,delta_factor_3,per_mounth_factor_3,factor_4,delta_factor_4,per_mounth_factor_4,factor_5,delta_factor_5,per_mounth_factor_5,factor_6,delta_factor_6,per_mounth_factor_6,factor_7,delta_factor_7,per_mounth_factor_7,factor_8,delta_factor_8,per_mounth_factor_8,factor_9,delta_factor_9,per_mounth_factor_9,factor_10,delta_factor_10,per_mounth_factor_10,factor_11,delta_factor_11,per_mounth_factor_11,factor_12,delta_factor_12,per_mounth_factor_12,factor_13,delta_factor_13,per_mounth_factor_13,factor_14,delta_factor_14,per_mounth_factor_14,factor_15,delta_factor_15,per_mounth_factor_15,factor_16,delta_factor_16,per_mounth_factor_16,factor_17,delta_factor_17,per_mounth_factor_17,factor_18,delta_factor_18,per_mounth_factor_18
2014,11,ГУВД г.Санкт-Петерб. и Лен.обл,11163,1035,1035,1011,96,96,14168,1243,1243,6.7,0.10000000000000053,0.10000000000000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,ГУВД г.Санкт-Петерб. и Лен.обл,12296,1133,1133,1116,105,105,15566,1398,1398,6.7,0,0,,,,,,,2748189,2748189,1374094.5,2173920,2173920,1086960,290262,290262,145131,25958,25958,12979,2380079,2380079,1190039.5,933960,933960,466980,127935,127935,63967.5,732,732,366,684198,684198,342099,121761,121761,60880.5,732,732,366,806691,806691,403345.5
2014,10,Ленинградская область,3407,3407,340.7,579,579,57.9,4676,4676,467.6,11,11,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Ленинградская область,3724,317,317,644,65,65,5083,407,407,11.2,0.1999999999999993,0.1999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Ленинградская область,4074,350,350,704,60,60,5562,479,479,11.2,0,0,,,,,,,717051,717051,358525.5,537584,537584,268792,77139,77139,38569.5,6120,6120,3060,863989,863989,431994.5,297814,297814,148907,30736,30736,15368,494,494,247,219154,219154,109577,29253,29253,14626.5,494,494,247,248901,248901,124450.5
2014,10,г. Санкт-Петербург,6721,6721,672.1,336,336,33.6,8249,8249,824.9,3.9,3.9,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,г. Санкт-Петербург,7439,718,718,367,31,31,9085,836,836,3.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,г. Санкт-Петербург,8222,783,783,412,45,45,10004,919,919,4,0.10000000000000009,0.10000000000000009,,,,,,,2031138,2031138,1015569,1636336,1636336,818168,213123,213123,106561.5,19838,19838,9919,1516090,1516090,758045,636146,636146,318073,97199,97199,48599.5,238,238,119,465044,465044,232522,92508,92508,46254,238,238,119,557790,557790,278895
2014,10,Мурманская область,732,732,73.2,69,69,6.9,944,944,94.4,6.8,6.8,0.6799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Мурманская область,845,113,113,75,6,6,1087,143,143,6.5,-0.2999999999999998,-0.2999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Мурманская область,944,99,99,82,7,7,1230,143,143,6.3,-0.20000000000000018,-0.20000000000000018,,,,,,,277492,277492,138746,236917,236917,118458.5,14380,14380,7190,2940,2940,1470,260465,260465,130232.5,146712,146712,73356,10920,10920,5460,2543,2543,1271.5,113328,113328,56664,11381,11381,5690.5,2215,2215,1107.5,126924,126924,63462
2014,10,Новгородская область,1178,1178,117.8,163,163,16.3,1424,1424,142.4,10.3,10.3,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Новгородская область,1283,105,105,173,10,10,1548,124,124,10.1,-0.20000000000000107,-0.20000000000000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
